Object Histogram:

Size	Count	Class description
264	11	org.jruby.ast.FCallNoArgBlockPassNode
264	11	org.joda.time.chrono.ZonedChronology$ZonedDurationField
264	11	java.lang.RuntimePermission
264	11	org.jruby.runtime.callsite.BitOrCallSite
256	4	org.jruby.ext.jruby.JRubyUtilLibrary$s$0$0$gc
256	8	sun.reflect.annotation.AnnotationType
256	8	sun.misc.ProxyGenerator$PrimitiveTypeInfo
256	8	org.joda.time.field.PreciseDateTimeField
256	16	java.lang.Byte
256	4	org.jruby.cext.NativeMethod1
256	4	org.jruby.ext.jruby.JRubyUtilLibrary$s$0$0$getObjectSpaceEnabled
256	8	java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
256	4	org.jruby.ext.jruby.JRubyUtilLibrary$s$1$0$getClassLoaderResources
256	16	java.util.regex.Pattern$Slice
256	4	org.jruby.ext.jruby.JRubyUtilLibrary$s$1$0$setObjectSpaceEnabled
256	2	com.kenai.constantine.platform.IPProto[]
240	6	org.jruby.ast.CallThreeArgBlockNode
240	10	java.util.Date
240	10	com.kenai.constantine.platform.darwin.RLIMIT
240	15	com.kenai.jffi.Type$Builtin
240	6	sun.misc.SoftCache$ValueCell
240	14	java.lang.Byte[]
240	15	org.jruby.runtime.Arity
224	2	java.util.GregorianCalendar
224	7	sun.security.jca.ProviderConfig
224	3	byte[][]
224	14	com.kenai.jaffl.provider.NativeType
224	14	org.jruby.runtime.assigner.PreManyRest0Post0Assigner
224	7	org.jruby.ast.CallOneArgBlockPassNode
224	1	org.jruby.common.IRubyWarnings$ID[]
224	11	java.lang.annotation.Annotation[]
216	9	org.joda.time.chrono.BasicChronology$YearInfo
216	9	org.jruby.org.objectweb.asm.Type
216	3	com.kenai.constantine.platform.darwin.TCP[]
208	13	com.kenai.jaffl.provider.jffi.Provider$TypeDelegate
208	2	sun.util.calendar.Gregorian$Date
208	13	java.util.regex.Pattern$Start
200	5	java.util.TreeMap
192	6	java.util.ResourceBundle$LoaderReference
192	3	org.jruby.javasupport.JavaAccessibleObject$i$1$0$annotation
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$annotations_p
192	3	org.jruby.javasupport.JavaAccessibleObject$i$1$0$same
192	2	com.kenai.constantine.platform.OpenFlags[]
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$modifiers
192	3	org.jruby.javasupport.JavaAccessibleObject$i$1$0$annotation_present_p
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$isAccessible
192	3	org.jruby.RubyStruct$StructMethods$s$0$0$members
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$0$0$is_java_proxy
192	8	com.kenai.constantine.platform.darwin.NameInfo
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$hash
192	2	org.jruby.runtime.backtrace.BacktraceElement[]
192	8	java.awt.AWTPermission
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$declaring_class
192	8	java.lang.annotation.ElementType[]
192	3	org.jruby.javasupport.JavaAccessibleObject$i$1$0$op_equal
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$1$0$same
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$to_string
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$0$0$length
192	4	sun.util.calendar.ZoneInfo
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$declared_annotations_p
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$0$0$hash
192	8	rubyobj.Gem.Platform
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$1$0$op_equal
192	6	java.security.ProtectionDomain
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$annotations
192	3	org.jruby.javasupport.JavaAccessibleObject$i$1$0$setAccessible
192	3	org.jruby.RubyStruct$StructMethods$s$newStruct
192	6	org.jruby.ast.FCallTwoArgBlockNode
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$0$0$java_class
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$2$0$aset
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$0$0$java_type
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$1$0$aref
192	4	sun.security.x509.X500Name
192	6	org.jruby.javasupport.util.ObjectProxyCache$WeakEntryRef
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$declared_annotations
192	4	sun.nio.ch.FileChannelImpl
192	3	org.jruby.javasupport.JavaAccessibleObject$i$0$0$synthetic_p
192	12	org.joda.time.DurationFieldType$StandardDurationFieldType
192	4	org.jruby.RubyFile
192	8	com.kenai.constantine.platform.darwin.INAddr
192	3	org.jruby.javasupport.proxy.JavaProxyReflectionObject$i$0$0$to_s
184	7	org.jruby.javasupport.JavaConstructor[][]
184	1	org.jruby.RubyInstanceConfig
176	1	org.jruby.runtime.DynamicScope[]
176	11	java.util.regex.Pattern$Dummy
176	1	org.jruby.RubyModule[]
176	11	org.jruby.ast.LiteralNode
176	1	org.jruby.lexer.yacc.RubyYaccLexer$Keyword[]
176	11	org.jruby.lexer.yacc.RubyYaccLexer$LexState
176	1	org.jruby.runtime.Frame[]
176	2	sun.security.provider.Sun
176	11	java.io.FileDescriptor
176	2	com.kenai.constantine.platform.RLIMIT[]
168	7	java.lang.OutOfMemoryError
168	7	java.net.NetPermission
168	3	com.kenai.jaffl.provider.jffi.AsmClassLoader
168	1	org.joda.time.chrono.GregorianChronology
168	7	java.util.ResourceBundle$ResourceCacheKey
168	2	java.text.DateFormat$Field[]
168	3	com.kenai.constantine.platform.darwin.RLIMIT[]
168	7	org.jruby.ast.SClassNode
168	3	org.jruby.RubyMatchData
168	7	java.lang.ThreadLocal$ThreadLocalMap
168	7	org.jruby.javasupport.JavaClass$Priority
160	10	com.kenai.jffi.Platform$OS
160	5	org.jruby.ast.FCallTwoArgBlockPassNode
160	10	com.kenai.jaffl.Platform$OS
160	7	java.io.ObjectStreamField[]
160	1	org.joda.time.chrono.ZonedChronology
160	5	java.lang.ClassLoader$NativeLibrary
160	4	org.jruby.javasupport.JavaClass$ConstructorInvokerInstaller
160	10	org.jruby.util.io.ModeFlags
160	10	org.jruby.anno.FrameField
160	10	java.util.Formatter$Flags
160	5	java.security.CodeSource
160	5	org.jruby.util.KCode
160	2	com.kenai.constantine.platform.TCP[]
144	6	org.joda.time.format.DateTimeFormatterBuilder$Composite
